IVL,SL,IVR,SR,Group,SL_Audio,SR_Audio
3,plapid,2,črobif,84,plapid.mp3,črobif.mp3
2,pnekāz,0,šzarāč,84,pnekāz.mp3,šzarāč.mp3
0,dpexim,H-3,ydesāv,84,dpexim.mp3,ydesāv.mp3
H+3,trovap,-1,čbexim,84,trovap.mp3,čbexim.mp3
3,kyobif,H0,fšarāč,84,kyobif.mp3,fšarāč.mp3
-2,lzovap,0,dpexim,84,lzovap.mp3,dpexim.mp3
0,dpapid,H-3,ydekāz,84,dpapid.mp3,ydekāz.mp3
L0,mnesāv,L0,yrapid,84,mnesāv.mp3,yrapid.mp3
L+3,dlapid,0,nmovap,84,dlapid.mp3,nmovap.mp3
-3,lgexim,L+1,fnobif,84,lgexim.mp3,fnobif.mp3
H+2,kmekāz,-2,mkobif,84,kmekāz.mp3,mkobif.mp3
H-1,njarāč,H+3,qlarāč,84,njarāč.mp3,qlarāč.mp3
1,jnexim,L+3,?yekāz,84,jnexim.mp3,-yekāz.mp3
1,bfesāv,H0,fšobif,84,bfesāv.mp3,fšobif.mp3
H-3,ydekāz,3,presāv,84,ydekāz.mp3,presāv.mp3
-2,ržesāv,L-3,y?arāč,84,ržesāv.mp3,y-arāč.mp3
0,dpexim,2,šlexim,84,dpexim.mp3,šlexim.mp3
2,pnekāz,1,bfekāz,85,pnekāz.mp3,bfekāz.mp3
L-1,fqapid,-1,mfarāč,85,fqapid.mp3,mfarāč.mp3
1,bfekāz,-1,čbapid,85,bfekāz.mp3,čbapid.mp3
-3,rpekāz,-2,lzazuf,85,rpekāz.mp3,lzazuf.mp3
L0,yrexim,L-1,fqapid,85,yrexim.mp3,fqapid.mp3
-2,mkobif,H-1,njarāč,85,mkobif.mp3,njarāč.mp3
2,pnekāz,L-1,fqexim,85,pnekāz.mp3,fqexim.mp3
H0,fšarāč,-1,čbexim,85,fšarāč.mp3,čbexim.mp3
-3,yparāč,2,črobif,85,yparāč.mp3,črobif.mp3
1,myarāč,3,presāv,85,myarāč.mp3,presāv.mp3
-3,rpesāv,L-3,y?obif,85,rpesāv.mp3,y-obif.mp3
L-1,ymesāv,0,dpapid,85,ymesāv.mp3,dpapid.mp3
3,kyobif,-1,čbexim,85,kyobif.mp3,čbexim.mp3
2,črarāč,-2,rhapid,85,črarāč.mp3,rhapid.mp3
-1,mčazuf,L-2,mdazuf,85,mčazuf.mp3,mdazuf.mp3
L+1,dsovap,L-3,l?azuf,85,dsovap.mp3,l-azuf.mp3
-3,rpekāz,1,bfesāv,85,rpekāz.mp3,bfesāv.mp3
H-2,ndexim,H0,qtazuf,85,ndexim.mp3,qtazuf.mp3
-1,fpesāv,H-3,rdexim,85,fpesāv.mp3,rdexim.mp3
-3,lgexim,H+2,kmekāz,85,lgexim.mp3,kmekāz.mp3
H-3,ydesāv,H-1,stovap,85,ydesāv.mp3,stovap.mp3
3,byovap,H+3,qlarāč,85,byovap.mp3,qlarāč.mp3
-3,ypobif,-1,mčovap,85,ypobif.mp3,mčovap.mp3
-3,rpekāz,H+1,ksesāv,85,rpekāz.mp3,ksesāv.mp3
-2,ržekāz,H+1,smapid,85,ržekāz.mp3,smapid.mp3
H+3,trovap,L+1,dsazuf,85,trovap.mp3,dsazuf.mp3
-3,yqovap,3,kyobif,85,yqovap.mp3,kyobif.mp3
-1,fpesāv,1,myarāč,85,fpesāv.mp3,myarāč.mp3
-1,mfarāč,H0,qtazuf,85,mfarāč.mp3,qtazuf.mp3
L0,mnesāv,H+2,kmekāz,85,mnesāv.mp3,kmekāz.mp3
2,šlexim,0,dpapid,85,šlexim.mp3,dpapid.mp3
0,dpexim,-1,mčovap,85,dpexim.mp3,mčovap.mp3
L-3,y?arāč,2,pnesāv,85,y-arāč.mp3,pnesāv.mp3
-2,rhexim,1,jnapid,85,rhexim.mp3,jnapid.mp3
H-2,rzekāz,1,kžovap,85,rzekāz.mp3,kžovap.mp3
-2,lzovap,H-3,ydekāz,85,lzovap.mp3,ydekāz.mp3
-1,mfobif,1,kžovap,85,mfobif.mp3,kžovap.mp3
H-3,rdapid,-2,lzovap,85,rdapid.mp3,lzovap.mp3
0,čjekāz,1,jnexim,85,čjekāz.mp3,jnexim.mp3
3,byovap,L-3,l?azuf,85,byovap.mp3,l-azuf.mp3
L+3,dlapid,2,dmazuf,85,dlapid.mp3,dmazuf.mp3
L+3,dlexim,1,myobif,85,dlexim.mp3,myobif.mp3
H0,fšobif,-3,ypobif,85,fšobif.mp3,ypobif.mp3
L-2,mdazuf,-1,fpekāz,85,mdazuf.mp3,fpekāz.mp3
L-1,ymesāv,1,kžovap,85,ymesāv.mp3,kžovap.mp3
3,prekāz,L-2,mdazuf,85,prekāz.mp3,mdazuf.mp3
H-3,rdapid,-2,mkobif,85,rdapid.mp3,mkobif.mp3
H+1,ksesāv,0,čjekāz,85,ksesāv.mp3,čjekāz.mp3
1,bfesāv,3,plapid,85,bfesāv.mp3,plapid.mp3
L+2,fyarāč,H+2,kmekāz,85,fyarāč.mp3,kmekāz.mp3
1,myarāč,H-2,rzekāz,85,myarāč.mp3,rzekāz.mp3
-1,fpesāv,L+1,fnobif,85,fpesāv.mp3,fnobif.mp3
H-2,ndexim,1,bfekāz,85,ndexim.mp3,bfekāz.mp3
H-1,njarāč,1,bfekāz,85,njarāč.mp3,bfekāz.mp3
0,nmovap,H-1,njarāč,85,nmovap.mp3,njarāč.mp3
-2,mkobif,-3,lgexim,85,mkobif.mp3,lgexim.mp3
3,kyarāč,1,bfekāz,86,kyarāč.mp3,bfekāz.mp3
-3,rpesāv,L+2,xlovap,86,rpesāv.mp3,xlovap.mp3
H0,fšobif,1,jnapid,86,fšobif.mp3,jnapid.mp3
H-3,rdexim,2,šlapid,86,rdexim.mp3,šlapid.mp3
H-1,stovap,-1,čbexim,86,stovap.mp3,čbexim.mp3
-2,rhapid,H-3,ydesāv,86,rhapid.mp3,ydesāv.mp3
0,dpapid,-1,fpekāz,86,dpapid.mp3,fpekāz.mp3
2,šlapid,-2,ržekāz,86,šlapid.mp3,ržekāz.mp3
L-2,mdovap,-1,mfarāč,86,mdovap.mp3,mfarāč.mp3
L+2,xlovap,L-3,l?ovap,86,xlovap.mp3,l-ovap.mp3
3,plapid,0,šzobif,86,plapid.mp3,šzobif.mp3
H0,qtazuf,0,dpapid,86,qtazuf.mp3,dpapid.mp3
2,šlexim,0,šzarāč,86,šlexim.mp3,šzarāč.mp3
-2,mkobif,H+1,ksekāz,86,mkobif.mp3,ksekāz.mp3
-2,ržekāz,-1,mfobif,86,ržekāz.mp3,mfobif.mp3
-2,rhexim,-3,yparāč,86,rhexim.mp3,yparāč.mp3
0,čjesāv,L-2,mdazuf,86,čjesāv.mp3,mdazuf.mp3
L+1,dsovap,-3,ypobif,86,dsovap.mp3,ypobif.mp3
2,pnesāv,3,byovap,86,pnesāv.mp3,byovap.mp3
L+3,dlapid,H-3,rdexim,86,dlapid.mp3,rdexim.mp3
0,šzarāč,-2,mkarāč,86,šzarāč.mp3,mkarāč.mp3
-3,ypobif,H-2,ndexim,86,ypobif.mp3,ndexim.mp3
3,presāv,0,dpapid,86,presāv.mp3,dpapid.mp3
-1,mčovap,L+1,fnobif,86,mčovap.mp3,fnobif.mp3
H-1,njobif,H-3,ydesāv,86,njobif.mp3,ydesāv.mp3
-3,yparāč,H+2,hrexim,86,yparāč.mp3,hrexim.mp3
H+1,smexim,-1,mčovap,86,smexim.mp3,mčovap.mp3
3,prekāz,L-2,lsarāč,86,prekāz.mp3,lsarāč.mp3
H-2,ndapid,L+2,xlovap,86,ndapid.mp3,xlovap.mp3
L+1,fnobif,H+3,trovap,86,fnobif.mp3,trovap.mp3
2,šlexim,H0,fšobif,86,šlexim.mp3,fšobif.mp3
-1,fpesāv,-3,lgexim,86,fpesāv.mp3,lgexim.mp3
2,dmazuf,2,šlexim,86,dmazuf.mp3,šlexim.mp3
-1,čbapid,L-3,y?obif,86,čbapid.mp3,y-obif.mp3
0,šzobif,0,nmovap,86,šzobif.mp3,nmovap.mp3
L+1,dsazuf,L+2,fyarāč,86,dsazuf.mp3,fyarāč.mp3
0,šzarāč,H+2,hrapid,86,šzarāč.mp3,hrapid.mp3
L+1,fnarāč,H+2,hrapid,86,fnarāč.mp3,hrapid.mp3
-2,mkobif,2,šlexim,86,mkobif.mp3,šlexim.mp3
3,prekāz,0,šzobif,86,prekāz.mp3,šzobif.mp3
2,dmazuf,0,šzarāč,86,dmazuf.mp3,šzarāč.mp3
1,kžazuf,-2,ržesāv,86,kžazuf.mp3,ržesāv.mp3
-3,lgexim,1,jnexim,86,lgexim.mp3,jnexim.mp3
L-1,fqexim,-1,fpekāz,86,fqexim.mp3,fpekāz.mp3
-3,lgexim,2,črobif,86,lgexim.mp3,črobif.mp3
H+3,trazuf,L+1,dsovap,86,trazuf.mp3,dsovap.mp3
1,kžovap,-2,lzovap,86,kžovap.mp3,lzovap.mp3
L+1,fnobif,H+1,ksesāv,86,fnobif.mp3,ksesāv.mp3
3,kyobif,L0,mnekāz,86,kyobif.mp3,mnekāz.mp3
L0,yrapid,1,bfekāz,86,yrapid.mp3,bfekāz.mp3
H-2,rzesāv,2,pnesāv,86,rzesāv.mp3,pnesāv.mp3
1,myobif,H+2,hrapid,86,myobif.mp3,hrapid.mp3
-3,yqovap,L-3,l?ovap,86,yqovap.mp3,l-ovap.mp3
2,šlexim,3,presāv,86,šlexim.mp3,presāv.mp3
1,jnexim,-3,rpesāv,86,jnexim.mp3,rpesāv.mp3
3,plexim,L-1,ymekāz,86,plexim.mp3,ymekāz.mp3
0,nmovap,-2,ržesāv,87,nmovap.mp3,ržesāv.mp3
L-1,fqapid,L-2,mdovap,87,fqapid.mp3,mdovap.mp3
H-3,rdapid,-3,yqazuf,87,rdapid.mp3,yqazuf.mp3
H+3,trazuf,H-1,njarāč,87,trazuf.mp3,njarāč.mp3
L+2,fyarāč,L-3,l?azuf,87,fyarāč.mp3,l-azuf.mp3
1,jnexim,L+3,dlapid,87,jnexim.mp3,dlapid.mp3
-1,mčovap,3,presāv,87,mčovap.mp3,presāv.mp3
L+3,dlexim,L0,mnekāz,87,dlexim.mp3,mnekāz.mp3
2,pnesāv,-1,mfobif,87,pnesāv.mp3,mfobif.mp3
-1,čbapid,H+3,trovap,87,čbapid.mp3,trovap.mp3
0,dpapid,3,kyarāč,87,dpapid.mp3,kyarāč.mp3
H+2,hrapid,L0,mnekāz,87,hrapid.mp3,mnekāz.mp3
2,pnekāz,H0,fšarāč,87,pnekāz.mp3,fšarāč.mp3
H-1,stazuf,H+1,ksesāv,87,stazuf.mp3,ksesāv.mp3
0,čjesāv,2,črobif,87,čjesāv.mp3,črobif.mp3
H-1,njarāč,1,bfesāv,87,njarāč.mp3,bfesāv.mp3
-2,rhexim,2,pnekāz,87,rhexim.mp3,pnekāz.mp3
0,dpexim,L+3,?yekāz,87,dpexim.mp3,-yekāz.mp3
2,črobif,2,dmovap,87,črobif.mp3,dmovap.mp3
-1,mfarāč,L+3,?yesāv,87,mfarāč.mp3,-yesāv.mp3
0,čjesāv,L-2,lsobif,87,čjesāv.mp3,lsobif.mp3
3,presāv,L0,yrapid,87,presāv.mp3,yrapid.mp3
-1,mčazuf,H-3,ydekāz,87,mčazuf.mp3,ydekāz.mp3
3,plexim,H0,qtovap,87,plexim.mp3,qtovap.mp3
H+3,qlobif,-1,fpekāz,87,qlobif.mp3,fpekāz.mp3
-1,čbexim,L-1,fqexim,87,čbexim.mp3,fqexim.mp3
H+2,hrexim,H-3,ydesāv,87,hrexim.mp3,ydesāv.mp3
-1,mčovap,2,črobif,87,mčovap.mp3,črobif.mp3
L-2,lsarāč,H0,qtovap,87,lsarāč.mp3,qtovap.mp3
H-1,njobif,0,čjekāz,87,njobif.mp3,čjekāz.mp3
H+1,smapid,L+2,xlovap,87,smapid.mp3,xlovap.mp3
H-2,ndapid,L+2,fyobif,87,ndapid.mp3,fyobif.mp3
2,šlapid,2,dmovap,87,šlapid.mp3,dmovap.mp3
0,nmovap,-1,mfarāč,87,nmovap.mp3,mfarāč.mp3
L0,yrexim,3,kyobif,87,yrexim.mp3,kyobif.mp3
L+1,dsazuf,3,kyarāč,87,dsazuf.mp3,kyarāč.mp3
H-3,rdexim,-3,rpesāv,87,rdexim.mp3,rpesāv.mp3
-1,mfobif,H0,fšobif,87,mfobif.mp3,fšobif.mp3
L-1,fqexim,3,kyarāč,87,fqexim.mp3,kyarāč.mp3
-2,ržesāv,-1,čbapid,87,ržesāv.mp3,čbapid.mp3
L+1,dsovap,-3,yparāč,87,dsovap.mp3,yparāč.mp3
-2,rhapid,L-3,y?obif,87,rhapid.mp3,y-obif.mp3
2,črarāč,0,dpexim,87,črarāč.mp3,dpexim.mp3
H-2,rzekāz,0,čjesāv,87,rzekāz.mp3,čjesāv.mp3
2,šlapid,-2,mkobif,87,šlapid.mp3,mkobif.mp3
H-2,rzekāz,H+2,hrapid,87,rzekāz.mp3,hrapid.mp3
L+2,xlazuf,L+2,fyobif,87,xlazuf.mp3,fyobif.mp3
1,myobif,H+1,smexim,87,myobif.mp3,smexim.mp3
H-2,ndapid,2,pnekāz,87,ndapid.mp3,pnekāz.mp3
2,šlexim,3,byovap,87,šlexim.mp3,byovap.mp3
-1,mčazuf,H-1,njobif,87,mčazuf.mp3,njobif.mp3
L0,yrapid,L0,mnekāz,87,yrapid.mp3,mnekāz.mp3
L-2,lsarāč,H+3,qlarāč,87,lsarāč.mp3,qlarāč.mp3
1,kžazuf,-1,fpesāv,87,kžazuf.mp3,fpesāv.mp3
0,čjesāv,0,šzobif,87,čjesāv.mp3,šzobif.mp3
H-1,stazuf,1,kžazuf,87,stazuf.mp3,kžazuf.mp3
H-2,rzesāv,0,dpexim,88,rzesāv.mp3,dpexim.mp3
L+2,xlazuf,0,čjekāz,88,xlazuf.mp3,čjekāz.mp3
H+1,ksesāv,L+1,dsovap,88,ksesāv.mp3,dsovap.mp3
2,pnesāv,-3,yparāč,88,pnesāv.mp3,yparāč.mp3
H0,fšobif,L+2,xlazuf,88,fšobif.mp3,xlazuf.mp3
0,šzarāč,H+1,smapid,88,šzarāč.mp3,smapid.mp3
H-1,stazuf,-2,lzazuf,88,stazuf.mp3,lzazuf.mp3
-1,fpekāz,-2,mkarāč,88,fpekāz.mp3,mkarāč.mp3
L-3,y?arāč,1,jnapid,88,y-arāč.mp3,jnapid.mp3
H-1,njarāč,3,kyobif,88,njarāč.mp3,kyobif.mp3
2,dmazuf,1,bfekāz,88,dmazuf.mp3,bfekāz.mp3
H-2,rzekāz,H+2,hrexim,88,rzekāz.mp3,hrexim.mp3
-2,ržesāv,H+3,qlarāč,88,ržesāv.mp3,qlarāč.mp3
H+2,hrapid,3,prekāz,88,hrapid.mp3,prekāz.mp3
-3,rpekāz,-1,fpekāz,88,rpekāz.mp3,fpekāz.mp3
-3,yparāč,L0,yrexim,88,yparāč.mp3,yrexim.mp3
L+2,xlovap,H0,qtazuf,88,xlovap.mp3,qtazuf.mp3
H-1,njarāč,0,čjesāv,88,njarāč.mp3,čjesāv.mp3
3,plapid,-1,mčazuf,88,plapid.mp3,mčazuf.mp3
H-2,ndapid,1,myobif,88,ndapid.mp3,myobif.mp3
H+1,ksekāz,1,bfekāz,88,ksekāz.mp3,bfekāz.mp3
3,kyobif,-3,rpekāz,88,kyobif.mp3,rpekāz.mp3
3,byovap,H-2,rzesāv,88,byovap.mp3,rzesāv.mp3
-2,lzovap,-1,mfobif,88,lzovap.mp3,mfobif.mp3
2,črobif,H-1,stovap,88,črobif.mp3,stovap.mp3
H-2,ndexim,H+1,ksesāv,88,ndexim.mp3,ksesāv.mp3
H-1,njarāč,3,plexim,88,njarāč.mp3,plexim.mp3
-2,ržekāz,L+3,?yekāz,88,ržekāz.mp3,-yekāz.mp3
1,jnexim,-1,mfarāč,88,jnexim.mp3,mfarāč.mp3
L+1,fnarāč,L+3,dlapid,88,fnarāč.mp3,dlapid.mp3
3,prekāz,L0,yrexim,88,prekāz.mp3,yrexim.mp3
H+3,trovap,0,nmovap,88,trovap.mp3,nmovap.mp3
-3,lgapid,H+3,trazuf,88,lgapid.mp3,trazuf.mp3
0,nmovap,L-3,l?azuf,88,nmovap.mp3,l-azuf.mp3
H-3,rdexim,H0,qtovap,88,rdexim.mp3,qtovap.mp3
-3,ypobif,3,kyarāč,88,ypobif.mp3,kyarāč.mp3
H-2,rzesāv,H0,fšarāč,88,rzesāv.mp3,fšarāč.mp3
3,byovap,H0,qtazuf,88,byovap.mp3,qtazuf.mp3
-3,rpekāz,0,čjekāz,88,rpekāz.mp3,čjekāz.mp3
2,šlexim,L-3,y?arāč,88,šlexim.mp3,y-arāč.mp3
0,čjesāv,H-1,njobif,88,čjesāv.mp3,njobif.mp3
0,šzarāč,H-1,stovap,88,šzarāč.mp3,stovap.mp3
L-3,l?azuf,-3,yparāč,88,l-azuf.mp3,yparāč.mp3
L-1,ymesāv,3,kyarāč,88,ymesāv.mp3,kyarāč.mp3
L+3,?yesāv,H+2,kmekāz,88,-yesāv.mp3,kmekāz.mp3
H-2,rzekāz,2,šlapid,88,rzekāz.mp3,šlapid.mp3
L-2,lsobif,L-1,fqapid,88,lsobif.mp3,fqapid.mp3
3,kyarāč,H+2,kmesāv,88,kyarāč.mp3,kmesāv.mp3
L-1,ymesāv,-2,mkobif,88,ymesāv.mp3,mkobif.mp3
H+3,trovap,-3,ypobif,88,trovap.mp3,ypobif.mp3
H-3,rdexim,H-2,ndexim,88,rdexim.mp3,ndexim.mp3
L+3,?yekāz,0,šzarāč,88,-yekāz.mp3,šzarāč.mp3
-1,mčovap,H-2,rzesāv,88,mčovap.mp3,rzesāv.mp3
-1,fpesāv,3,prekāz,88,fpesāv.mp3,prekāz.mp3
H-3,ydekāz,-1,mfarāč,88,ydekāz.mp3,mfarāč.mp3
1,jnapid,L+1,dsovap,88,jnapid.mp3,dsovap.mp3
1,bfesāv,H-3,ydesāv,89,bfesāv.mp3,ydesāv.mp3
-2,mkobif,H0,fšarāč,89,mkobif.mp3,fšarāč.mp3
2,šlexim,L-3,l?ovap,89,šlexim.mp3,l-ovap.mp3
H+1,smapid,0,dpexim,89,smapid.mp3,dpexim.mp3
H-1,stazuf,L+1,dsovap,89,stazuf.mp3,dsovap.mp3
-3,yqazuf,H+2,kmesāv,89,yqazuf.mp3,kmesāv.mp3
L-3,y?obif,3,plapid,89,y-obif.mp3,plapid.mp3
1,myobif,2,šlapid,89,myobif.mp3,šlapid.mp3
2,dmazuf,3,kyarāč,89,dmazuf.mp3,kyarāč.mp3
2,črobif,L+3,?yesāv,89,črobif.mp3,-yesāv.mp3
-3,ypobif,L-1,fqexim,89,ypobif.mp3,fqexim.mp3
-3,lgexim,3,plexim,89,lgexim.mp3,plexim.mp3
L-3,l?ovap,-1,mfobif,89,l-ovap.mp3,mfobif.mp3
H+3,qlobif,L-3,y?arāč,89,qlobif.mp3,y-arāč.mp3
H+1,ksekāz,L+3,?yesāv,89,ksekāz.mp3,-yesāv.mp3
-1,mčazuf,-1,mfarāč,89,mčazuf.mp3,mfarāč.mp3
L+3,dlapid,L-2,mdovap,89,dlapid.mp3,mdovap.mp3
2,črarāč,0,čjesāv,89,črarāč.mp3,čjesāv.mp3
1,kžazuf,L-3,l?ovap,89,kžazuf.mp3,l-ovap.mp3
L-1,ymesāv,-1,mčovap,89,ymesāv.mp3,mčovap.mp3
H-2,rzesāv,-3,lgapid,89,rzesāv.mp3,lgapid.mp3
L-1,ymekāz,H-2,ndexim,89,ymekāz.mp3,ndexim.mp3
H-2,rzekāz,L+3,?yekāz,89,rzekāz.mp3,-yekāz.mp3
H-2,ndexim,-2,lzazuf,89,ndexim.mp3,lzazuf.mp3
L-3,l?ovap,L+1,fnobif,89,l-ovap.mp3,fnobif.mp3
L+2,fyarāč,H+2,hrexim,89,fyarāč.mp3,hrexim.mp3
L-2,mdovap,0,šzarāč,89,mdovap.mp3,šzarāč.mp3
H+3,trovap,2,črarāč,89,trovap.mp3,črarāč.mp3
-2,ržekāz,2,pnekāz,89,ržekāz.mp3,pnekāz.mp3
L+1,fnarāč,-2,mkobif,89,fnarāč.mp3,mkobif.mp3
3,plexim,-3,rpekāz,89,plexim.mp3,rpekāz.mp3
H-3,rdapid,2,črobif,89,rdapid.mp3,črobif.mp3
-1,fpekāz,1,bfesāv,89,fpekāz.mp3,bfesāv.mp3
L-1,ymekāz,L+3,?yesāv,89,ymekāz.mp3,-yesāv.mp3
0,šzarāč,L-3,l?azuf,89,šzarāč.mp3,l-azuf.mp3
2,šlapid,-1,fpesāv,89,šlapid.mp3,fpesāv.mp3
-2,ržesāv,2,črarāč,89,ržesāv.mp3,črarāč.mp3
L+1,fnobif,-3,yqovap,89,fnobif.mp3,yqovap.mp3
H+2,hrapid,-1,mfarāč,89,hrapid.mp3,mfarāč.mp3
0,čjesāv,L+3,dlexim,89,čjesāv.mp3,dlexim.mp3
-2,ržesāv,L-3,l?azuf,89,ržesāv.mp3,l-azuf.mp3
L+3,?yesāv,H-2,ndexim,89,-yesāv.mp3,ndexim.mp3
H+2,kmekāz,1,bfesāv,89,kmekāz.mp3,bfesāv.mp3
L-2,lsobif,H+3,trovap,89,lsobif.mp3,trovap.mp3
H+2,kmesāv,1,kžovap,89,kmesāv.mp3,kžovap.mp3
L-3,l?ovap,L-2,mdovap,89,l-ovap.mp3,mdovap.mp3
0,šzobif,L-3,y?arāč,89,šzobif.mp3,y-arāč.mp3
H-1,stazuf,L0,yrexim,89,stazuf.mp3,yrexim.mp3
L0,yrexim,3,presāv,89,yrexim.mp3,presāv.mp3
-3,rpesāv,3,prekāz,89,rpesāv.mp3,prekāz.mp3
-3,ypobif,1,jnexim,89,ypobif.mp3,jnexim.mp3
L+3,dlexim,2,pnesāv,89,dlexim.mp3,pnesāv.mp3
H+3,qlobif,L+2,xlovap,89,qlobif.mp3,xlovap.mp3
L0,mnekāz,L0,yrexim,89,mnekāz.mp3,yrexim.mp3
-2,rhexim,-1,mčovap,89,rhexim.mp3,mčovap.mp3
0,dpapid,L0,mnekāz,89,dpapid.mp3,mnekāz.mp3
-3,lgexim,1,myobif,90,lgexim.mp3,myobif.mp3
2,šlapid,0,nmazuf,90,šlapid.mp3,nmazuf.mp3
H-2,ndexim,-3,yqazuf,90,ndexim.mp3,yqazuf.mp3
-2,rhexim,H-1,njarāč,90,rhexim.mp3,njarāč.mp3
1,myarāč,L-2,lsarāč,90,myarāč.mp3,lsarāč.mp3
L-3,l?azuf,-1,mfarāč,90,l-azuf.mp3,mfarāč.mp3
0,šzobif,H-1,stazuf,90,šzobif.mp3,stazuf.mp3
-2,lzovap,H-1,njobif,90,lzovap.mp3,njobif.mp3
H-3,rdexim,H-3,ydekāz,90,rdexim.mp3,ydekāz.mp3
0,šzarāč,L-1,fqapid,90,šzarāč.mp3,fqapid.mp3
H+3,qlobif,H-2,ndapid,90,qlobif.mp3,ndapid.mp3
1,bfesāv,0,šzobif,90,bfesāv.mp3,šzobif.mp3
2,pnekāz,L+2,xlovap,90,pnekāz.mp3,xlovap.mp3
L+1,fnarāč,0,šzobif,90,fnarāč.mp3,šzobif.mp3
L-3,y?obif,-1,fpesāv,90,y-obif.mp3,fpesāv.mp3
3,byovap,0,dpexim,90,byovap.mp3,dpexim.mp3
-2,mkarāč,H-1,njarāč,90,mkarāč.mp3,njarāč.mp3
L+3,dlexim,1,kžovap,90,dlexim.mp3,kžovap.mp3
-3,lgapid,-3,rpekāz,90,lgapid.mp3,rpekāz.mp3
H+3,trovap,L-1,fqapid,90,trovap.mp3,fqapid.mp3
H+3,qlobif,H0,fšobif,90,qlobif.mp3,fšobif.mp3
2,pnekāz,H-2,rzesāv,90,pnekāz.mp3,rzesāv.mp3
H-1,stazuf,2,črarāč,90,stazuf.mp3,črarāč.mp3
-1,mfobif,-3,yqovap,90,mfobif.mp3,yqovap.mp3
L-3,y?obif,3,kyarāč,90,y-obif.mp3,kyarāč.mp3
0,šzobif,-2,rhexim,90,šzobif.mp3,rhexim.mp3
H-1,njarāč,2,šlapid,90,njarāč.mp3,šlapid.mp3
1,myobif,L-1,fqexim,90,myobif.mp3,fqexim.mp3
-3,rpesāv,1,kžovap,90,rpesāv.mp3,kžovap.mp3
-2,mkobif,L-2,lsarāč,90,mkobif.mp3,lsarāč.mp3
L+1,dsazuf,-3,yqovap,90,dsazuf.mp3,yqovap.mp3
L-3,l?ovap,L+1,dsazuf,90,l-ovap.mp3,dsazuf.mp3
1,kžovap,L+3,?yekāz,90,kžovap.mp3,-yekāz.mp3
L-2,mdazuf,H-2,ndexim,90,mdazuf.mp3,ndexim.mp3
3,kyarāč,-2,mkobif,90,kyarāč.mp3,mkobif.mp3
H-2,rzekāz,2,črarāč,90,rzekāz.mp3,črarāč.mp3
2,pnekāz,-2,mkobif,90,pnekāz.mp3,mkobif.mp3
-1,fpekāz,-2,lzovap,90,fpekāz.mp3,lzovap.mp3
3,kyobif,L-3,l?azuf,90,kyobif.mp3,l-azuf.mp3
2,šlapid,2,črarāč,90,šlapid.mp3,črarāč.mp3
-2,ržesāv,0,čjekāz,90,ržesāv.mp3,čjekāz.mp3
L0,yrexim,0,dpapid,90,yrexim.mp3,dpapid.mp3
L-2,mdazuf,L0,yrexim,90,mdazuf.mp3,yrexim.mp3
L-3,l?azuf,L+2,fyobif,90,l-azuf.mp3,fyobif.mp3
1,bfesāv,-1,čbapid,90,bfesāv.mp3,čbapid.mp3
3,prekāz,H+1,ksesāv,90,prekāz.mp3,ksesāv.mp3
H+2,hrexim,3,prekāz,90,hrexim.mp3,prekāz.mp3
L+2,xlovap,1,myarāč,90,xlovap.mp3,myarāč.mp3
3,plapid,-2,rhapid,90,plapid.mp3,rhapid.mp3
0,čjesāv,-2,rhexim,90,čjesāv.mp3,rhexim.mp3
H+1,smapid,L+1,dsovap,90,smapid.mp3,dsovap.mp3
L-1,fqexim,L-3,y?obif,90,fqexim.mp3,y-obif.mp3
H+1,smexim,L0,mnekāz,90,smexim.mp3,mnekāz.mp3
-2,rhapid,0,čjekāz,90,rhapid.mp3,čjekāz.mp3
1,jnexim,L+1,fnobif,90,jnexim.mp3,fnobif.mp3
L+1,dsazuf,L-2,lsarāč,90,dsazuf.mp3,lsarāč.mp3
L-1,ymesāv,L+2,fyarāč,91,ymesāv.mp3,fyarāč.mp3
H+1,smapid,L+2,xlazuf,91,smapid.mp3,xlazuf.mp3
L-1,fqapid,-1,čbapid,91,fqapid.mp3,čbapid.mp3
H-3,rdapid,H+3,qlobif,91,rdapid.mp3,qlobif.mp3
-3,ypobif,1,myarāč,91,ypobif.mp3,myarāč.mp3
-2,rhapid,H0,qtovap,91,rhapid.mp3,qtovap.mp3
-2,mkobif,0,nmovap,91,mkobif.mp3,nmovap.mp3
L+2,fyobif,H+2,kmekāz,91,fyobif.mp3,kmekāz.mp3
L-1,ymekāz,-3,lgexim,91,ymekāz.mp3,lgexim.mp3
H-3,ydesāv,1,myarāč,91,ydesāv.mp3,myarāč.mp3
-3,rpekāz,3,kyarāč,91,rpekāz.mp3,kyarāč.mp3
-3,yqazuf,-2,ržesāv,91,yqazuf.mp3,ržesāv.mp3
1,bfekāz,L+1,dsazuf,91,bfekāz.mp3,dsazuf.mp3
H-2,rzesāv,L-1,fqexim,91,rzesāv.mp3,fqexim.mp3
H+3,trovap,H-3,ydekāz,91,trovap.mp3,ydekāz.mp3
H+3,qlarāč,3,presāv,91,qlarāč.mp3,presāv.mp3
H0,qtazuf,H+1,smapid,91,qtazuf.mp3,smapid.mp3
-3,yqovap,L+3,dlexim,91,yqovap.mp3,dlexim.mp3
L-3,l?ovap,-2,ržesāv,91,l-ovap.mp3,ržesāv.mp3
